Card 1,Card 2,Card 3,Card 4,Card 5,Hand
Jack Spades,King Spades,10 Spades,Queen Spades,Ace Spades,Royal flush
Queen Diamonds,Jack Diamonds,King Diamonds,10 Diamonds,Ace Diamonds,Royal flush
10 Clubs,Jack Clubs,Ace Clubs,King Clubs,Queen Clubs,Royal flush
Ace Clubs,King Clubs,Queen Clubs,Jack Clubs,10 Clubs,Royal flush
2 Heart,4 Heart,5 Heart,3 Heart,6 Heart,Straight flush
9 Heart,Queen Heart,10 Heart,Jack Heart,King Heart,Straight flush
Ace Spades,2 Spades,3 Spades,4 Spades,5 Spades,Straight flush
5 Diamonds,6 Diamonds,9 Diamonds,7 Diamonds,8 Diamonds,Straight flush
Ace Clubs,4 Clubs,2 Clubs,3 Clubs,5 Clubs,Straight flush
Ace Heart,Ace Spades,9 Diamonds,5 Heart,3 Spades,One pair
6 Spades,Ace Spades,King Clubs,4 Spades,9 Clubs,Nothing in hand
10 Heart,6 Clubs,2 Heart,Ace Heart,8 Diamonds,Nothing in hand
King Spades,Ace Spades,4 Clubs,5 Heart,Jack Spades,Nothing in hand
8 Diamonds,Queen Clubs,9 Diamonds,2 Clubs,2 Diamonds,One pair
3 Heart,7 Clubs,5 Heart,4 Spades,King Clubs,Nothing in hand
4 Heart,Ace Heart,3 Heart,5 Diamonds,2 Diamonds,Straight
8 Diamonds,Queen Diamonds,7 Spades,6 Spades,2 Heart,Nothing in hand
8 Clubs,Jack Heart,6 Clubs,2 Diamonds,Queen Clubs,Nothing in hand
7 Diamonds,7 Spades,Jack Clubs,Queen Heart,Ace Diamonds,One pair
King Heart,8 Clubs,7 Spades,10 Spades,King Diamonds,One pair
6 Spades,8 Spades,Jack Heart,4 Heart,7 Diamonds,Nothing in hand
10 Diamonds,10 Spades,5 Clubs,2 Heart,8 Diamonds,One pair
Ace Spades,King Diamonds,6 Clubs,9 Heart,Ace Clubs,One pair
10 Spades,8 Spades,8 Heart,2 Diamonds,King Spades,One pair
King Spades,5 Heart,5 Clubs,8 Clubs,3 Diamonds,One pair
Ace Diamonds,5 Heart,7 Spades,King Diamonds,Ace Heart,One pair
7 Heart,5 Heart,8 Clubs,6 Heart,6 Spades,One pair
7 Diamonds,9 Diamonds,Queen Spades,5 Spades,4 Clubs,Nothing in hand
10 Spades,Ace Heart,Queen Heart,6 Clubs,8 Spades,Nothing in hand
King Diamonds,7 Spades,Jack Clubs,Jack Diamonds,Jack Spades,Three of a kind
2 Clubs,7 Spades,King Diamonds,Jack Spades,10 Diamonds,Nothing in hand
Jack Heart,7 Spades,6 Heart,2 Clubs,Ace Heart,Nothing in hand
4 Diamonds,3 Clubs,5 Diamonds,Queen Spades,9 Heart,Nothing in hand
2 Diamonds,6 Heart,Jack Spades,3 Clubs,10 Spades,Nothing in hand
8 Clubs,3 Clubs,King Clubs,Queen Clubs,Ace Heart,Nothing in hand
6 Spades,8 Clubs,3 Clubs,2 Spades,2 Heart,One pair
King Clubs,6 Heart,8 Diamonds,3 Heart,3 Spades,One pair
9 Spades,10 Spades,Jack Clubs,7 Clubs,3 Clubs,Nothing in hand
10 Spades,Queen Diamonds,2 Heart,2 Spades,King Spades,One pair
5 Spades,Queen Spades,3 Spades,2 Heart,3 Diamonds,One pair
8 Spades,2 Diamonds,5 Spades,Queen Heart,8 Clubs,One pair
Ace Spades,7 Clubs,6 Clubs,5 Clubs,5 Heart,One pair
King Diamonds,Ace Spades,7 Diamonds,3 Heart,6 Spades,Nothing in hand
